channel,rate,peak_snr,peak_time_rel,method,error
V1:SDB1_B1x_DC_DARM_norm,100,1215.6628879130624,-2.760040283203125,bp_envelope,
V1:SIB2_B2_Cam__Pwr,10,230.81702496866865,-2.200040817260742,absdev,
V1:DAQ_DET_Img_CEB_IrqGTimeS,100,20.692740836806564,-14.490029096603394,bp_envelope,
V1:DAQ_DET_Img_CEB_IrqGTimeN,100,20.693609612772487,-14.490029096603394,bp_envelope,
V1:ASC_SR_TY_DCP_HF_B1p_I_10Hz,10,19.026318003463086,-1.4000415802001953,absdev,
V1:ASC_SR_TX_DCP_HF_B1p_Q_10Hz,10,15.365743603435066,-1.4000415802001953,absdev,
V1:NCal_NNN_box_T,10,7.25,-10.200033187866211,absdev,
V1:SQB1_LC_LVDT_BL_V_out_q,10,7.148938589840789,-3.9000391960144043,absdev,
V1:SBE_SWEB_hor_safety_500Hz,500,7.138244422873833,-2.3720080852508545,bp_envelope,
V1:EQB1_MAIN_PLL_PD1_DC,10000,6.7273671990338,-0.006617546081542969,bp_envelope,
V1:Sc_NI_MAR_PSDM_PWR,10000,6.250735858280033,-1.5375449657440186,bp_envelope,
V1:SQB1_LC_LVDT_BL_H_out_i_norm,10,6.025324088031353,-1.900041103363037,absdev,
V1:Sc_NI_MAR_PSDT_PWR,10000,6.016923677654416,-1.530951738357544,bp_envelope,
V1:Sc_NE_MAR_PSDM_X1,10000,5.983721798687117,-2.395763397216797,bp_envelope,
V1:Sc_BS_F7_LVDT_V3,10000,5.623326327638189,-0.5271828174591064,bp_envelope,
V1:ASC_B2_QD1_18MHz_H_I,2000,5.453345057777382,-0.7057106494903564,bp_envelope,
V1:SBE_SQB1_F0_H2_LVDT_10Hz,10,5.44488990708922,-1.5000414848327637,absdev,
V1:ASC_B2_QD2_H,2000,5.439153146290081,-0.26574254035949707,bp_envelope,
V1:Sa_PR_F0_Y_CORR_500Hz,500,5.2593089842644245,-0.01589798927307129,bp_envelope,
V1:SBE_SQB2_F0_ty_500Hz,500,5.148429029455398,-2.8940324783325195,bp_envelope,
V1:ASC_B4_QD2_6MHz_V_I,2000,5.132763766775201,-0.545222282409668,bp_envelope,
V1:SDB1_B5_QD2_DL_10Hz,10,5.094668697336138,-7.100036144256592,absdev,
V1:ASC_B2_QD2_6MHz_V_Q,2000,5.04687175899127,-0.8731985092163086,bp_envelope,
